timestamp,latency,tx_bitrate_mbps,latitude,longitude
1754910921,51.0,0.311,48.278011,11.673093
1754910922,44.3,0.35,48.278087,11.673174
1754910923,42.3,0.326,48.278165,11.673249
1754910924,36.9,0.364,48.278246,11.673322
1754910925,36.2,0.367,48.278326,11.673403
1754910926,49.6,0.281,48.278405,11.673491
1754910927,54.8,0.444,48.27848,11.67358
1754910928,47.9,0.284,48.278551,11.67367
1754910929,45.8,0.457,48.278619,11.67376
1754910930,55.2,0.32,48.278682,11.673848
1754910931,43.7,0.319,48.278741,11.673932
1754910932,42.9,0.319,48.278796,11.674013
1754910933,59.7,0.439,48.278848,11.674092
1754910934,46.6,0.428,48.278899,11.674172
1754910935,49.2,0.371,48.27895,11.674254
1754910936,39.4,0.37,48.279003,11.674339
1754910937,53.6,0.318,48.279058,11.674428
1754910938,51.9,0.31,48.279116,11.674524
1754910939,63.9,0.29,48.279177,11.674627
1754910940,55.0,0.3,48.279241,11.674737
1754910941,36.9,0.282,48.279308,11.67485
1754910942,49.2,0.365,48.279378,11.674967
1754910943,60.6,0.3,48.279449,11.675085
1754910944,52.7,0.472,48.279522,11.675207
1754910945,43.1,0.253,48.279595,11.67533
1754910946,46.9,0.376,48.279668,11.675455
1754910947,53.7,0.228,48.27974,11.675578
1754910948,53.7,0.446,48.279812,11.6757
1754910949,39.1,0.397,48.279884,11.675822
1754910950,52.9,0.249,48.279955,11.675942
1754910951,93.9,0.349,48.280026,11.676059
1754910952,52.5,0.39,48.280098,11.676173
1754910953,46.9,0.448,48.280174,11.67628
1754910954,41.6,0.349,48.280255,11.676375
1754910955,84.7,0.249,48.280343,11.676458
1754910956,58.0,0.331,48.280436,11.676529
1754910957,48.1,0.272,48.280535,11.676587
1754910958,42.2,0.388,48.280638,11.67663
1754910959,43.7,0.331,48.280745,11.676659
1754910960,36.9,0.278,48.280854,11.676679
1754910961,61.9,0.401,48.280963,11.676696
1754910962,55.1,0.309,48.281072,11.676712
1754910963,49.9,0.44,48.281182,11.676727
1754910964,53.9,0.26,48.281292,11.676741
1754910965,42.8,0.231,48.281403,11.676757
1754910966,54.0,0.437,48.281514,11.676773
