timestamp,latency,tx_bitrate_mbps,latitude,longitude,bw_timestamp,total,lost,time_interval
1754910647,37.1,0.385,48.26203,11.67015,1754913438,4717,0,1.392446
1754910647,37.1,0.385,48.26203,11.67015,1754915127,4717,0,1.226839
1754910648,57.7,0.342,48.261952,11.670119,1754913438,4717,0,1.392446
1754910648,57.7,0.342,48.261952,11.670119,1754915127,4717,0,1.226839
1754910649,51.8,0.404,48.261876,11.670089,1754913438,4717,0,1.392446
1754910649,51.8,0.404,48.261876,11.670089,1754915125,4717,0,1.316401
1754910649,51.8,0.404,48.261876,11.670089,1754915127,4717,0,1.226839
1754910650,41.7,0.316,48.2618,11.67006,1754913441,4717,0,1.801424
1754910650,41.7,0.316,48.2618,11.67006,1754915125,4717,0,1.316401
1754910651,45.4,0.343,48.261726,11.670032,1754913441,4717,0,1.801424
1754910651,45.4,0.343,48.261726,11.670032,1754915125,4717,0,1.316401
1754910652,44.1,0.259,48.261654,11.670003,1754913441,4717,0,1.801424
1754910652,44.1,0.259,48.261654,11.670003,1754915123,4717,342,1.122044
1754910652,44.1,0.259,48.261654,11.670003,1754915125,4717,0,1.316401
1754910653,40.6,0.334,48.261585,11.669978,1754913441,4717,0,1.801424
1754910653,40.6,0.334,48.261585,11.669978,1754915122,4717,0,1.139709
1754910653,40.6,0.334,48.261585,11.669978,1754915123,4717,342,1.122044
1754910654,46.7,0.423,48.261517,11.669954,1754913444,4717,0,1.868482
1754910654,46.7,0.423,48.261517,11.669954,1754915122,4717,0,1.139709
1754910654,46.7,0.423,48.261517,11.669954,1754915123,4717,342,1.122044
1754910655,37.0,0.22,48.261449,11.66993,1754913444,4717,0,1.868482
1754910655,37.0,0.22,48.261449,11.66993,1754915120,4717,0,1.099976
1754910655,37.0,0.22,48.261449,11.66993,1754915122,4717,0,1.139709
1754910655,37.0,0.22,48.261449,11.66993,1754915123,4717,342,1.122044
1754910656,48.8,0.29,48.261384,11.669906,1754913444,4717,0,1.868482
1754910656,48.8,0.29,48.261384,11.669906,1754915120,4717,0,1.099976
1754910656,48.8,0.29,48.261384,11.669906,1754915122,4717,0,1.139709
1754910657,46.0,0.239,48.261321,11.66988,1754913444,4717,0,1.868482
1754910657,46.0,0.239,48.261321,11.66988,1754913447,4717,184,1.244486
1754910657,46.0,0.239,48.261321,11.66988,1754915119,4717,0,1.10959
1754910657,46.0,0.239,48.261321,11.66988,1754915120,4717,0,1.099976
1754910657,46.0,0.239,48.261321,11.66988,1754915122,4717,0,1.139709
1754910658,44.0,0.299,48.261264,11.669852,1754913444,4717,0,1.868482
1754910658,44.0,0.299,48.261264,11.669852,1754913447,4717,184,1.244486
1754910658,44.0,0.299,48.261264,11.669852,1754915117,4717,126,1.089992
1754910658,44.0,0.299,48.261264,11.669852,1754915119,4717,0,1.10959
1754910658,44.0,0.299,48.261264,11.669852,1754915120,4717,0,1.099976
1754910659,48.8,0.355,48.261211,11.669816,1754913447,4717,184,1.244486
1754910659,48.8,0.355,48.261211,11.669816,1754915117,4717,126,1.089992
1754910659,48.8,0.355,48.261211,11.669816,1754915119,4717,0,1.10959
1754910659,48.8,0.355,48.261211,11.669816,1754915120,4717,0,1.099976
1754910660,44.4,0.27,48.261163,11.669765,1754913447,4717,184,1.244486
1754910660,44.4,0.27,48.261163,11.669765,1754915116,4717,79,1.100596
1754910660,44.4,0.27,48.261163,11.669765,1754915117,4717,126,1.089992
1754910660,44.4,0.27,48.261163,11.669765,1754915119,4717,0,1.10959
1754910660,44.4,0.27,48.261163,11.669765,1754915120,4717,0,1.099976
1754910661,38.9,0.272,48.261129,11.669696,1754913447,4717,184,1.244486
1754910661,38.9,0.272,48.261129,11.669696,1754913450,4717,0,1.143564
1754910661,38.9,0.272,48.261129,11.669696,1754915116,4717,79,1.100596
1754910661,38.9,0.272,48.261129,11.669696,1754915117,4717,126,1.089992
1754910662,52.9,0.316,48.261116,11.669613,1754913450,4717,0,1.143564
1754910662,52.9,0.316,48.261116,11.669613,1754915116,4717,79,1.100596
1754910662,52.9,0.316,48.261116,11.669613,1754915117,4717,126,1.089992
